product_name,store_name,stock_sold,sale_date,amount
iPhone 15 Pro,FineRise Tech Hub,2,2026-04-15,2400
MacBook Pro M3,Silicon Valley Outlet,1,2026-04-16,3500
Galaxy S24 Ultra,Global Gadgets,3,2026-04-17,3900
Sony WH-1000XM5,Elite Electronics,5,2026-04-18,1750
Logitech MX Master 3S,Future Shop,10,2026-04-19,1000
iPad Air,FineRise Tech Hub,4,2026-04-20,2400
Kindle Paperwhite,Global Gadgets,8,2026-04-21,1120
Nintendo Switch OLED,Silicon Valley Outlet,6,2026-04-22,2100
Keychron K2,Elite Electronics,12,2026-04-23,1200
iPhone 15 Pro,Future Shop,1,2026-04-24,1200
